ISO2,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate
AF,2020-11-28 12:25:48,45966,1752,36709,7505,118.07849710317736,3.81151285732933
AL,2020-11-28 12:25:48,36245,771,17755,17719,1259.4690388491208,2.1271899572354807
DZ,2020-11-28 12:25:48,80168,2372,51946,25850,182.81891265391337,2.958786548248678
AD,2020-11-28 12:25:48,6610,76,5710,824,8554.973144373262,1.1497730711043872
AO,2020-11-28 12:25:48,15008,342,7697,6969,45.66383989809856,2.2787846481876333
AG,2020-11-28 12:25:48,141,4,130,7,143.98333469487787,2.8368794326241136
AR,2020-11-28 12:25:48,1407277,38216,1235257,133804,3113.7356041030116,2.7155989901064252
AM,2020-11-28 12:25:48,133594,2121,106479,24994,4508.385095473392,1.5876461517732832
AU,2020-11-28 12:25:48,27885,907,25585,1393,109.5260352635734,3.2526447911063294
AT,2020-11-28 12:25:48,275661,3018,210697,61946,3060.723485521407,1.0948229891061847
AZ,2020-11-28 12:25:48,109813,1291,69931,38591,1083.0565603217224,1.1756349430395308
BS,2020-11-28 12:25:48,7496,163,5830,1503,1906.176255187566,2.1744930629669157
BH,2020-11-28 12:25:48,86515,341,84653,1521,5084.383189065711,0.3941513032422123
BD,2020-11-28 12:25:48,460619,6580,375885,78154,279.68955351542,1.4285125016553812
BB,2020-11-28 12:25:48,270,7,249,14,93.95520076834475,2.5925925925925926
BY,2020-11-28 12:25:48,131633,1136,110152,20345,1393.0418915814162,0.8630054773499046
BE,2020-11-28 12:25:48,570829,16339,0,554490,4925.348691449311,2.8623282979666413
BZ,2020-11-28 12:25:48,5587,141,3056,2390,1405.1068731279283,2.523715768748881
BJ,2020-11-28 12:25:48,2974,43,2579,352,24.531480884829232,1.44586415601883
BT,2020-11-28 12:25:48,395,0,372,23,51.19153149510376,0.0
BO,2020-11-28 12:25:48,144494,8943,121050,14501,1237.8449500982135,6.189184325992775
BA,2020-11-28 12:25:48,85431,2542,50001,32888,2603.9566388229755,2.975500696468495
BW,2020-11-28 12:25:48,10258,31,7717,2510,436.2090044118429,0.3022031585104309
